movie_id,release_date,percent_female
862,1995-10-30,0
8844,1995-12-15,0
15602,1995-12-22,0
11862,1995-02-10,0.5
949,1995-12-15,0
11860,1995-12-15,0.5
45325,1995-12-22,0
9091,1995-12-22,0.5
710,1995-11-16,0
9087,1995-11-17,0
12110,1995-12-22,0
21032,1995-12-22,0.25
10858,1995-12-22,0
1408,1995-12-22,0
524,1995-11-22,0
4584,1995-12-13,1
5,1995-12-09,0.25
9273,1995-11-10,0
8012,1995-10-20,0
1710,1995-10-27,1
9691,1995-10-06,0.8
12665,1995-10-27,0
451,1995-10-27,0
16420,1995-12-15,0
17015,1995-09-27,0.5
902,1995-05-16,0
63,1995-12-29,0.5
78802,1996-09-18,0
9598,1995-07-18,0
47018,1995-11-08,0
687,1995-12-29,0.5
9603,1995-07-19,1
34615,1995-12-15,0
31174,1995-12-29,0
11443,1995-10-06,0
577,1995-05-20,1
11861,1995-10-06,1
807,1995-09-22,0
10530,1995-06-14,0.3333333333333333
8391,1995-05-05,1
629,1995-07-19,0
11448,1995-09-13,0
49133,1994-01-01,0
26441,1995-09-29,1
124057,1997-07-08,0
9089,1995-11-02,0
11010,1994-09-22,0
99040,1995-09-29,0
11359,1995-07-14,1
17182,1996-01-12,0.5
2054,1995-12-29,0
10607,1996-01-12,0
19760,1996-01-12,0
11525,1996-01-12,0
40628,1995-10-22,0
4482,1995-02-08,1
10634,1995-04-26,0
755,1996-01-19,0
28387,1995-10-06,0
48750,1995-03-22,0
20927,1996-01-26,0
36929,1996-01-26,0
9102,1995-09-08,0
27526,1995-11-15,0
9623,1996-02-02,0
400,1995-12-01,0
10534,1996-02-02,0
17414,1996-01-12,0
13997,1996-02-01,0
2086,1995-11-22,0
9095,1996-02-23,0
12158,1995-10-26,0
9283,1996-02-09,0
9208,1996-02-09,0
40154,1995-12-01,0
406,1995-05-31,0
45549,1994-12-06,0
11062,1996-02-16,0
13685,1996-02-21,0
9614,1996-02-16,0
688,1995-05-28,0
11907,1994-11-07,1
10874,1996-02-16,0
197,1995-05-24,0
43566,1996-02-23,0
71754,1995-09-13,0
43612,1995-01-31,1
10324,1996-03-08,0
78406,1995-09-29,0
55731,1996-03-22,0
11066,1992-06-30,0
11104,1994-07-14,0
2074,1996-03-22,0
27793,1994-10-26,0
110972,1996-02-09,0
32622,1995-01-01,1
55475,1995-08-16,0
9101,1996-03-01,0
5757,1995-09-15,0
39428,1995-08-23,0
11000,1996-03-08,1
249882,1995-10-12,0
16388,1995-08-09,0
9737,1995-04-07,0
30765,1995-08-25,0
22279,1995-07-21,0
30157,1994-08-05,0
568,1995-06-30,0
11780,1995-04-13,0
34996,1995-01-10,0
414,1995-06-16,0
649,1967-05-24,0
1873,1995-05-24,0
5894,1995-09-15,0
1775,1995-06-08,0
8839,1995-05-26,1
20649,1995-09-15,0
10329,1995-06-09,0
8963,1995-05-12,0
8068,1995-08-25,0
8512,1995-09-15,0
1572,1995-05-19,0
13552,1995-10-27,0
259209,1995-10-12,0
6520,1995-07-07,0
9073,1995-07-19,0.5
10428,1995-09-14,0
17447,1995-08-18,0
9886,1995-05-26,0
9482,1995-06-30,0
19326,1995-04-12,0.6666666666666666
9071,1995-01-20,0
8973,1995-08-25,0
47608,1995-05-26,1
2293,1995-10-20,0
9070,1995-06-30,0
48787,1995-09-28,0
34574,1994-09-13,0
1642,1995-07-28,0
11472,1995-07-12,0
36196,1995-06-09,1
11980,1995-09-01,0
58372,1995-11-17,0
32646,1995-06-23,0
10533,1995-10-13,0
10149,1995-06-09,0
18402,1995-08-04,1
9348,1995-07-07,0
281,1995-10-13,0
47939,1995-10-27,0.6666666666666666
36834,1995-11-02,0
9090,1995-09-07,0
3512,1995-07-13,0
52856,1995-09-15,0
9560,1995-08-11,0
9804,1995-07-28,0
65796,1995-12-01,0
49805,1994-10-12,0
26258,1995-08-04,0
50797,1994-05-01,0
76,1995-01-27,0.5
11017,1995-02-10,0
37141,1995-10-17,0
9382,1995-02-03,0
6715,1995-04-21,0
18256,1995-08-04,0
22625,1995-03-16,0
2292,1994-09-13,0
1909,1994-10-01,0
8984,1994-12-09,0
61813,1995-01-01,0
4954,1994-12-08,0
62488,1995-04-28,0
10531,1994-05-04,0
11929,1995-03-24,0
8467,1994-12-16,0
10451,1994-08-03,0
20156,1994-09-24,0
18395,1994-10-14,0.6666666666666666
522,1994-09-27,0
397,1995-05-05,0
10525,1995-05-19,0
15789,1995-04-07,0
27303,1995-03-03,0
21183,1995-06-02,0
10954,1994-12-07,0
72031,1994-09-16,0
14275,1994-09-12,0
1024,1994-09-02,0.5
13701,1994-12-16,0
14819,1995-02-17,0
32631,1995-02-24,0
11777,1994-12-24,0
628,1994-11-11,1
87729,1995-03-31,1
6280,1994-11-22,0
9061,1995-02-17,0
11,1977-05-25,0
9587,1994-12-21,1
19101,1995-05-10,0.5
49980,1994-02-18,1
17961,1994-02-16,0
18183,1992-04-16,1
4476,1994-12-16,0.3333333333333333
11008,1995-03-24,0
47504,1994-10-27,0
32325,1994-06-08,1
43742,1994-10-21,0
28313,1995-03-17,1
11318,1994-12-28,0
3036,1994-11-04,0.5
40490,1995-03-03,0
24070,1994-12-21,1
10510,1994-11-18,0
17402,1995-01-27,0
38722,1995-05-03,0
8438,1995-01-20,0
11593,1994-12-23,0
1945,1994-12-23,0
39310,1995-04-19,0
56428,1994-04-22,0
63105,1995-09-26,0
131957,1995-03-03,0
241,1994-08-25,0
6950,1995-03-10,0
101,1994-09-14,0
63020,1995-05-12,1
680,1994-09-10,0
25296,1992-02-01,0
40156,1994-01-01,0
11450,1994-09-16,0
10452,1994-05-13,0.3333333333333333
12106,1995-02-09,0
3586,1994-12-23,0
110,1994-05-27,0
108,1993-01-10,0.16666666666666666
109,1994-01-26,0
36357,1995-01-01,0
92769,1995-10-03,0
28033,1995-04-12,0
22586,1994-11-18,0
14334,1994-01-01,0
2636,1994-10-07,0
2164,1994-10-27,0
11395,1994-11-10,0
278,1994-09-23,0
9905,1994-12-22,0
87078,1993-09-14,0
20306,1994-09-10,0
36614,1994-07-12,0
27993,1995-09-08,0
9059,1995-01-13,0
193,1994-11-17,0
25066,1995-05-24,0
46797,1994-04-15,0
12122,1995-04-28,0
11381,1995-03-31,0.5
32636,1994-09-13,0
36141,1995-04-28,0
95963,1995-02-24,0
1587,1993-12-17,0
9271,1995-08-04,0
236,1994-09-29,0
3049,1994-02-04,0
2759,1994-05-31,0
12635,1994-04-01,0
10497,1992-09-02,0
11382,1994-10-14,0
9331,1994-08-03,0
10731,1994-07-20,0
10464,1994-08-12,1
34152,1994-05-13,0.5
9495,1994-05-11,0
29973,1994-12-02,0
888,1994-05-26,0
13,1994-07-06,0
712,1994-03-09,0
16295,1995-01-11,0
48992,1994-10-14,1
10879,1994-06-29,0.5
10660,1994-07-29,1
10714,1994-12-23,0
8587,1994-06-23,0.6666666666666666
1689,1993-12-01,0
11596,1994-10-13,0
854,1994-07-29,0
9359,1994-05-20,0
23333,1994-09-07,0
36593,1994-03-18,0
12280,1994-03-18,0
2788,1994-02-18,1
10427,1993-07-08,0
11011,1994-12-19,0
49803,1994-12-01,1
1637,1994-06-09,0
15128,1994-12-16,0
8831,1994-09-15,0
36955,1994-07-14,0
10449,1994-04-29,0
10395,1994-06-17,0
12160,1994-06-24,0
52038,1994-12-22,0
29444,1994-09-15,0
26352,1994-11-23,0
39953,1994-09-30,0
18242,1993-12-10,0
11667,1994-12-22,0
267188,1997-12-31,0
278939,1995-10-24,0
203119,1996-05-03,0
8011,1994-11-29,0
2654,1994-12-12,0
2758,1993-11-19,0
38129,1994-04-27,0
10436,1993-09-17,0.3333333333333333
9409,1993-07-22,0.5
16771,1994-07-29,0
46924,1994-05-06,0
11041,1993-10-15,0
306,1994-05-24,0
14522,1994-07-29,1
178,1994-07-01,0
19819,1994-02-18,0
57834,1994-09-16,0.75
4722,1993-06-09,0
18215,1993-06-18,1
1607,1993-09-14,0
26391,1994-01-07,0
6075,1993-11-10,0
11310,1994-06-10,0
18658,1994-05-06,0
9350,1993-05-28,0
9612,1993-07-23,0.25
2124,1994-08-19,0
19176,1994-06-03,0
49299,1993-11-19,0
11566,1993-05-07,0
9571,1993-09-24,0
9739,1993-10-08,0
34444,1994-05-13,0
26141,1993-10-29,0
50463,1994-04-29,1
10443,1993-10-15,0
20239,1994-10-28,0
18551,1993-11-05,0
9024,1993-10-01,0
37233,1993-06-30,0
1634,1993-07-16,0
13815,1994-08-24,0
5503,1993-08-06,0
35588,1993-12-10,0
2087,1994-02-11,0.3333333333333333
41579,1994-06-17,0
18620,1994-06-10,1
41006,1994-07-14,0
4916,1993-06-04,0
2019,1993-08-20,0
31642,1993-12-24,0
9255,1993-05-21,0
10612,1995-05-12,0
2259,1993-10-19,0.5
16097,1994-01-01,0
11934,1994-03-11,0
106143,1994-02-04,0
12475,1994-08-12,0
9386,1993-07-08,0
7984,1993-12-12,0
15765,1993-06-09,1
31643,1994-03-30,0
6,1993-10-15,0
329,1993-06-11,0
10909,1993-09-01,0
507,1993-10-01,0
34024,1993-08-20,0
9593,1993-06-18,0
42580,1993-06-04,0
22317,1994-03-11,0
12121,1993-05-27,1
2246,1993-09-29,0
10502,1993-08-25,0
10440,1993-08-18,0
2320,1996-03-15,0
5879,1976-05-15,0
83718,1994-09-09,0
11971,1993-05-07,0
2625,1993-10-08,0
788,1993-11-24,1
21450,1993-09-14,0
11231,1994-07-18,0
41588,1994-09-16,0
31586,1994-07-22,0
9300,1992-09-01,1
9559,1993-11-24,0
9800,1993-12-22,0
713,1993-05-19,1
8291,1993-07-23,0
18133,1993-09-24,0
25557,1994-10-21,0
22588,1994-10-21,0.2
10872,1994-03-09,0
1245,1993-11-05,0.5
11858,1994-06-03,0
7007,1993-07-30,0
10467,1994-10-28,0
5550,1993-04-17,0
8005,1993-07-28,0
10412,1992-03-05,0
47889,1993-10-08,0
41878,1992-08-19,0
424,1993-11-29,0
14291,1993-08-13,0
103413,1994-09-30,0
11236,1993-08-13,1
11592,1994-04-13,0
8850,1994-07-01,0
10445,1993-12-25,0
695,1993-09-05,0
12519,1993-10-01,0
23210,1993-12-08,0
858,1993-06-24,0
867,1993-05-21,0
78,1982-06-25,0
13203,1993-07-02,0.5
11074,1993-09-17,0
9607,1993-05-28,0
17585,1994-04-15,0
20967,1993-11-26,0
10635,1994-04-08,0
9479,1993-10-09,0.3333333333333333
10057,1993-11-11,0
11969,1993-12-25,0
41590,1994-09-09,0
319,1993-09-09,0
15139,1994-11-23,0
85247,1994-09-14,0
11446,1995-05-24,0
51980,1993-09-29,0.3333333333333333
24405,1994-04-22,0
11655,1993-09-12,0
11800,1993-11-10,0
8223,1993-10-28,0
14587,1994-01-21,1
31504,1994-06-29,0
95743,1994-07-29,0
17600,1994-01-15,0
10897,1994-08-05,0
25403,1993-10-12,0
124304,1993-05-20,1
9066,1995-02-16,0
771,1990-11-09,0
251,1990-07-12,0
812,1992-11-25,0
280,1991-07-01,0
268,1989-06-23,0
274,1991-02-01,0.3333333333333333
10020,1991-11-13,0.2857142857142857
114,1990-03-23,0
576,1969-06-17,0
30528,1995-03-16,0
10824,1995-03-17,0
261246,1993-12-31,0
25059,1996-03-08,1
11827,1981-08-07,0
8766,1996-03-08,0
23570,1996-05-03,0
47333,1996-02-09,0.3333333333333333
51242,1974-05-05,0
10112,1970-12-23,0
4307,1995-09-22,0.5
46029,1996-02-14,0
32308,1996-03-15,0
88893,1991-01-01,0
52873,1993-05-14,0
28121,1996-04-04,0
12520,1995-09-08,0
1592,1996-04-03,0.5
36447,1996-01-26,0
19042,1996-03-29,0
38884,1995-01-01,0
41852,1996-03-29,0
40926,1996-03-22,0
9099,1996-03-29,0
2021,1995-06-02,0
10988,1996-03-22,0
11479,1994-12-14,0
398959,1995-09-11,0
12652,1996-04-12,0
10684,1996-07-04,0
954,1996-05-22,0
68445,1995-02-10,0
18989,1996-06-14,0
10801,1996-03-06,1
8840,1996-05-31,0
124625,1995-09-12,0
11107,1996-05-31,0
16417,1993-12-01,0
10363,1960-03-10,0
161070,1996-08-08,0
10539,1996-04-12,0
10543,1996-04-12,0
18414,1996-04-02,0
47502,1996-04-03,0
11902,1995-04-11,0
27098,1995-03-08,0
25087,1996-03-01,0
5801,1955-08-26,0
896,1959-05-01,0
3065,1996-04-19,0.2
2300,1996-11-15,0
8069,1968-10-10,0
288173,1995-01-01,1
27768,1994-03-26,0
8072,1965-05-05,0
35797,1981-11-04,0
27281,1995-07-28,0
105045,1995-02-16,0.5
40001,1996-04-19,0
37144,1996-03-12,1
12656,1996-09-13,0
38867,1995-06-09,1
753,1968-11-24,0
43634,1996-05-10,1
9103,1996-04-19,0
90214,1996-03-04,0
10990,1996-04-26,0
8866,1996-04-26,1
12233,1988-11-18,0
23449,1996-04-19,0
36355,1996-05-17,0
37667,1994-05-03,0
90148,1994-05-10,1
11876,1995-09-20,0.5
52633,1975-01-05,0
62364,1995-11-10,0
11687,1993-01-27,0
9304,1996-07-19,0.25
9100,1996-05-03,0
20759,1996-05-03,0
46063,1996-05-02,0
40651,1995-08-01,0
36915,1996-05-17,0
9802,1996-06-06,0
25697,1996-04-12,0
21588,1994-03-25,0
664,1996-05-10,0.5
11867,1996-05-02,1
47119,1995-10-31,0.5
9323,1995-11-18,0
10280,1996-10-25,0
10535,1996-05-24,0
532,1995-12-24,0
935,1964-01-29,0
55613,1992-09-30,0
35645,1995-11-03,0
110465,1950-12-07,0.5
40751,1994-09-16,0
11101,1993-01-21,0
9826,1996-06-06,0
22621,1995-01-20,0
7095,1996-08-09,0
26890,1996-05-01,0.5
46732,1995-09-10,0
124633,1995-09-09,0
41225,1968-05-16,0
87190,1995-01-01,0
627,1996-02-23,0
32872,1997-05-30,1
602,1996-06-25,0
14553,1996-03-29,0
9566,1996-08-15,0
10545,1996-06-21,0.16666666666666666
11543,1996-07-04,0
9268,1996-06-21,0
9327,1996-06-26,0
81949,1994-05-15,0
183955,1994-09-09,0
44535,1994-09-27,0
78285,1991-09-18,0
11228,1996-12-06,0
10779,1996-07-18,0.5
26748,1996-06-21,0
38223,1996-07-10,0.5
9294,1996-07-05,0
49963,1996-07-17,1
11363,1996-08-26,0
1645,1996-07-24,0
31546,1996-09-13,0
77056,1995-03-22,0
18550,1996-07-19,0
11511,1996-07-17,0
172198,1994-10-23,1
34170,1996-10-31,0
12606,1996-08-23,0.25
35206,1956-09-21,0
4837,1967-03-02,0
12632,1993-09-11,0
9098,1996-05-30,0
18975,1996-07-26,0
11962,1996-07-26,0
2925,1996-09-20,0.5
28628,1995-10-01,0
3595,1996-11-08,0
9308,1996-10-25,0
92381,1996-08-02,0
12123,1996-08-02,0
10830,1996-08-02,0
3573,1996-08-02,0.5
10546,1996-08-29,0
18862,1996-08-14,0
31417,1960-01-11,0
9431,1996-08-16,0
46986,1995-09-14,0
10061,1996-08-09,0.2
36266,1995-01-01,0
549,1996-08-09,0
10478,1996-08-16,0
66634,1991-06-02,0
213917,1990-08-28,1
238,1972-03-14,0
88224,1996-01-22,1
9303,1996-09-13,1
23945,1996-08-23,0
22479,1996-08-16,0
9054,1997-05-30,0
11985,1994-09-02,0
10232,1976-01-31,0
59569,1996-09-06,0
38955,1993-10-21,0
110513,1996-08-21,0.6666666666666666
114089,1995-08-30,0
11015,1997-01-10,0.5
9306,1996-08-23,0
58770,1996-08-30,0
3587,1996-09-06,0
10723,1996-09-06,0
56077,1998-10-30,0
19004,1995-03-16,0
10987,1995-09-29,0.5
44705,1996-10-31,0
26933,1994-05-05,0
872,1952-04-10,0
2769,1951-08-08,0
164,1961-10-05,0
426,1958-05-09,0
567,1954-08-01,0
213,1959-07-07,0
284,1960-06-15,0
4808,1963-12-05,0
11113,1964-10-21,0
6620,1954-09-28,0
804,1953-09-02,0
31044,1982-10-01,0
599,1950-08-10,0
62,1968-04-10,0
705,1950-11-09,0
8356,1957-07-11,0.2
381,1955-08-03,0
20758,1950-06-16,0.5
29376,1953-08-07,0
17281,1958-04-15,0.5
64382,1958-01-01,0
1712,1956-10-10,0.3333333333333333
220,1955-03-09,0
2897,1956-10-17,0
10331,1968-10-01,0
488,1951-12-03,0
22733,1953-11-24,0
261,1958-02-17,0
57575,1954-01-01,0
52855,1997-02-12,0
39940,1955-11-18,0
85328,1996-07-26,0
11076,1996-09-13,0
58985,1996-09-13,1
890,1995-09-08,0
10861,1996-09-13,0
44465,1996-09-13,1
18203,1996-09-20,0
9333,1996-09-20,0
9401,1996-09-11,0
12241,1996-09-06,0
161806,1996-10-18,0
11306,1996-09-27,0
9625,1996-10-04,0
10680,1996-10-04,0
6346,1996-10-11,0
18660,1975-07-01,0
35115,1955-05-25,0
14136,1968-12-22,0
10869,1974-02-14,0
22660,1957-12-25,0
19186,1961-06-12,0
31102,1960-05-19,0
6878,1993-02-03,1
15944,1959-03-19,0.5
18444,1960-12-21,0
20723,1965-12-02,0.4
173,1954-12-23,0
864,1993-09-30,0.25
11224,1950-03-04,0
81310,1968-12-20,0
8367,1991-06-14,0
433,1964-08-27,0
11114,1977-11-03,0
12335,1971-10-07,0
12092,1951-07-03,0
10948,1981-07-10,0
11229,1996-08-23,0
15121,1965-03-02,0
562,1988-07-15,0
48862,1996-09-04,0.5
47199,1996-11-08,0
11159,1996-05-24,0
9591,1996-10-04,0
30500,1996-10-18,0
41843,1996-09-04,1
55058,1996-05-10,0
10938,1996-06-21,0
11412,1996-10-11,0
10586,1996-10-11,0
42314,1996-10-11,0
27845,1996-10-11,0
49471,1996-10-16,0
25147,1996-02-06,0
9716,1996-12-06,0
43777,1996-02-10,0
454,1996-10-31,0
10218,1996-10-18,0
819,1996-10-18,0
56830,1996-12-10,0
11238,1996-05-20,0
26282,1952-04-30,0
16372,1961-12-25,0
11561,1973-12-17,0
11302,1971-04-28,0
623,1988-07-15,0
583,1979-08-17,0
12614,1982-04-25,0
11575,1965-07-01,0
475,1967-07-18,0
11331,1958-10-07,0
521,1954-05-29,0
88,1987-08-21,1
500,1992-09-02,0
792,1986-12-18,0
8491,1989-07-05,0
10537,1991-03-01,0
9504,1992-09-15,0
15764,1982-12-08,0
601,1982-04-03,1
2119,1990-06-27,0
744,1986-05-16,0
136311,1996-09-12,0
221,1955-10-27,0
702,1951-09-18,0
25750,1996-10-08,0
427043,1996-10-03,0
11112,1996-10-25,0
21612,1996-01-26,0
102461,1995-05-29,0
36998,1996-01-01,0
1630,1996-10-12,0
11816,1981-12-04,0
11843,1975-05-21,0
10379,1991-04-19,0
2756,1989-08-09,0
790,1980-02-08,0.5
1103,1981-05-22,0
11298,1981-04-03,0
4480,1986-08-27,0
4481,1986-11-19,0
10765,1980-10-06,0.3333333333333333
762,1975-03-13,0
44497,1996-07-19,0
99479,1996-09-27,0
55049,1996-05-15,0
531,1993-12-17,0
104931,1995-03-08,0
18919,1994-09-10,0
659,1979-05-02,0
30892,1972-09-13,0
8074,1967-03-17,0
49763,1996-11-01,0
36555,1995-05-17,1
10608,1992-09-04,0
7452,1989-09-10,0
892,1991-04-17,0
1600,1991-05-15,0
26561,1991-11-06,0.5
975,1957-09-18,0
18129,1990-09-14,0
150823,1997-10-23,0
409,1996-11-14,0
10161,1989-07-21,0
1412,1989-08-18,0
41768,1992-12-11,0
10409,1992-08-20,0
14285,1988-08-28,0
2469,1989-12-12,0
510,1975-11-18,0
11455,1978-01-01,0
1891,1980-05-17,0.3333333333333333
2493,1987-09-18,0
85,1981-06-12,0
68,1985-02-20,0
679,1986-07-18,0
429,1966-12-23,0
389,1957-03-25,0
947,1962-12-10,0
185,1971-12-18,0
595,1962-12-25,0.6666666666666666
28,1979-08-15,0
335,1968-12-21,0
1892,1983-05-23,0
144,1987-01-01,0
769,1990-09-12,0
348,1979-05-25,0
766,1992-10-09,0
175,1988-05-11,0
11645,1985-06-01,0
10835,1989-07-06,0
539,1960-06-16,0
525,1980-06-17,0
240,1974-12-20,0
600,1987-06-26,0
530,1990-05-18,0
10705,1989-10-05,0
279,1984-10-26,0
3109,1952-07-21,0
311,1984-02-16,0
1578,1980-11-14,0
703,1977-04-19,0
9549,1983-10-20,0
1398,1979-04-16,0
387,1981-09-16,0
9277,1973-12-25,0
343,1971-12-20,0
37291,1990-09-09,0
490,1957-02-16,0
11235,1983-02-17,0
218,1984-10-26,0.3333333333333333
763,1992-08-13,0.25
9665,1989-12-15,0
18971,1991-02-08,0
696,1979-04-25,0
207,1989-06-02,0
37247,1967-12-21,0
1480,1958-04-23,0
9322,1990-02-21,0
826,1957-10-02,0
422,1963-02-14,0
829,1974-06-20,0
828,1951-09-17,0
9964,1987-12-01,0
13667,1985-10-11,0
694,1980-05-22,0.3333333333333333
235,1986-08-22,0
765,1987-03-13,0
5925,1963-06-20,0
11778,1978-12-08,0
4485,1981-03-11,0
137,1993-02-11,0
33,1992-08-07,0
982,1962-10-24,0
8428,1990-08-22,0
105,1985-07-03,0
1633,1991-12-27,1
11202,1970-01-25,0
149,1988-07-16,0
8009,1986-03-07,0
903,1967-06-22,0
11673,1990-03-28,0
3034,1974-12-15,0.2
288,1952-03-27,0
2640,1988-10-01,0
16633,1980-10-02,0
665,1959-12-26,0
11031,1984-05-04,0
11314,1982-06-06,0
15143,1987-02-27,0
89,1989-05-24,0
10322,1979-12-19,0
783,1982-11-30,0
10644,1988-02-05,0
11257,1985-12-13,1
14370,1985-08-07,0
12104,1982-07-14,0
8816,1985-12-12,0
830,1956-03-15,0
2323,1989-04-21,0
983,1975-12-03,0.3333333333333333
642,1969-09-23,0
655,1984-05-19,0
10341,1991-09-12,0
266022,1996-10-18,0
41801,1996-01-22,1
61536,1996-12-24,0
8077,1992-05-22,0
814,1981-08-21,0
41671,1992-07-16,0
52263,1996-10-02,0
33519,1993-09-29,0
16235,1982-09-24,0
11449,1979-07-27,0
25944,1974-08-13,0
24913,1986-03-27,0
49126,1977-04-06,0
32076,1987-06-09,0
571,1963-03-28,0.5
8851,1958-09-12,0
37843,1980-09-01,0
32146,1991-08-02,0
6114,1992-11-13,0
13549,1976-10-18,0
9529,1992-10-16,0
1598,1991-11-15,0
11349,1962-04-12,0
7340,1976-11-03,0
6217,1982-04-02,0
377,1984-11-14,0
28198,1988-09-15,0
794,1976-06-06,0
31640,1996-10-03,0.5
25189,1996-11-15,0
145,1996-05-13,0
2212,1997-01-31,0
199,1996-11-21,0
7863,1996-01-21,0
12498,1996-08-30,0
9279,1996-11-15,0
53234,1982-10-21,0
21539,1996-12-13,0
20539,1996-11-27,0
11674,1996-11-17,0
64900,1994-05-18,1
1573,1990-07-02,0
152,1979-12-06,0
174,1991-12-05,0
172,1989-06-09,0
154,1982-06-03,0
157,1984-05-31,0
168,1986-11-25,0
364,1992-06-19,0
9037,1982-06-11,0
10173,1990-10-05,0
55687,1996-11-29,0
168535,1996-09-11,0
8845,1992-10-08,0
46681,1958-09-01,0
578,1975-06-18,0
579,1978-06-16,0
17692,1983-03-16,0
17795,1996-12-20,0
13891,1996-12-13,0
9390,1996-12-06,0
10896,1987-03-06,0
2322,1992-09-09,0
26949,1996-12-18,1
49799,1996-12-19,0
31908,1996-12-20,0
46027,1996-10-22,0
3179,1996-12-15,0
4232,1996-12-20,0
9361,1992-09-25,0
2928,1996-12-25,0.2
30285,1996-12-25,0
10549,1996-12-25,0
58102,1996-12-25,0
27265,1996-12-25,0
49935,1996-08-21,0
8818,1996-12-14,0
36758,1996-10-18,0.5
36040,1971-07-01,0
9415,1997-04-18,0
12145,1997-01-24,0
34314,1997-01-09,0
2892,1995-09-09,0
9404,1996-02-10,0
85242,1996-06-01,0
9622,1997-01-17,0
8860,1997-01-16,0
66597,1980-11-21,0
14832,1993-02-20,0
9619,1997-02-07,0
4104,1993-04-16,0
26306,1997-01-24,0
43775,1995-01-01,0
14908,1997-04-18,0
784,1996-05-05,0
12489,1997-01-29,0
16448,1996-01-31,0
55936,1996-03-15,0
17894,1997-02-07,0
28059,1996-02-07,0
58911,1996-12-19,0
17949,1997-02-07,0
1968,1997-02-14,1
61563,1997-02-14,0
66,1997-02-14,0
25796,1997-04-04,1
638,1997-01-15,0
25624,1997-02-21,0
9366,1997-02-27,0
21915,1997-02-26,0
50091,1997-03-07,0
18420,1997-03-14,0
19952,1997-01-01,0
9446,1997-03-07,0
28005,1996-09-11,1
9403,1997-03-07,0
27322,1997-03-14,0
10003,1997-04-03,0
9311,1997-02-13,1
11844,1996-05-11,0
884,1996-07-17,0
49806,1996-01-01,0
1624,1997-03-21,0
